"Table 5.8: Cost estimate of water source protection-related proposals","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"1136","Halwattha (Halwattha ihala kotasa)","7.193835","80.655573","Located on Hanthana reserve. A dam is built across a flowing water stream to collect water(L=2.0m, H=0.3m, Thickness=0.1m). A formal water scheme has been established. The boundaries are not marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","220,000"
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1136","Halwattha ihala","7.193835","80.655573","Located on Hanthana reserve. A dam is built across a flowing water stream to collect water(L=2.0m, H=0.3m, Thickness=0.1m). A formal water scheme has been established. The boundaries are not marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","220,000"
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1136","Office junction","7.198093","80.648874","Water is taken from the outer canal of the Nillamba tank.","Construction of new catchpit (1.2m x 1.2m x 0.9m)","286,000"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
