"Table 5.9: Cost estimate of domestic water supply","","","","","",""
"GND No","Name of the Area","N","E","Observation","Description","Amount  Rs"
"1136","Halwattha","7.193835","80.655573","The water source here is located in the Hanthana reserve. A small dam is built across a flowing water stream to collect water(L=2.0m, H=0.3m, Thickness=0.1m). There is a stock tank and water filtering system [N-7.192167, E-657675]. The boundaries are not marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","616,000"
,,,,,"Supplying of plastic volumetric water meters",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Palledelthota","7.190438","80.664309","It is located on the edge of paddy and has no boundaries or stock tank. The spring has been preserved by sinking concrete rings and covered the top of well. (Dia-1.2m, H=0.9m)","Establishing a water filtering system","374,000"
,,,,,"Supplying of 2000 L Polymer water tank",
,,,,,"Supplying of plastic volumetric water meters",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Palledelthota","7.178586","80.653153","Located in Wedathanna Kandura. Water from a canal leading from the water springs is collected in a catchpit and distributed trough a stock tank. The catchpit has no cover and the boundaries are not marked. .There are no filtration system.","Establishing a water filtering system","599,500"
,,,,,"Supplying of plastic volumetric water meters",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Akkara 90","7.179178","80.658786","Located in Wedathanna Kandura. Water from a canal leading from the water springs is collected in a catchpit and distributed trough a stock tank. The catchpit has no cover and the boundaries are not marked. .There are no filtration system.","Establishing a water filtering system","616,000"
,,,,,"Supplying of plastic volumetric water meters",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1140","Thumpela watta","7.168554","80.676883","Located on Tea Land. Currently people are using water irregularly. A concrete wall about 4m Length and 0.6m Height is built to collect water. No water filtering system and boundary.","Establishing a water filtering system","1,050,500"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1140","Nillamba ii megodagama","7.171984","80.657034","Located on Nillama 2 Water catchment area(Forest).a small dam is built across a flowing water stream to collect water. No water filtering system and boundaries.","Construction of Concrete water storage tank of 20 cum - size internal t 3mx3mx2.5","1,116,500"
,,,,,"Establishing a water filtering system",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1133","Levallon Pitawala division","7.166549","80.681928","Located on CG Division estate. Water from water springs and a canal leading from the water springs is collected in a catchpit and distributed trough a stock tank. The catchpit has no cover and the boundaries are not marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","96,800"
,,,,,"Contingancies 10%",
"1133","Levallon Estate","7.157391","80.6824","Water source located on Levallon No.5 . Water from the canal leading from the water springs is collected in a catchpit and distributed trough a stock tank.  There is no filtering system and the boundaries are not marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","374,000"
,,,,,"Establishing a water filtering system",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1133","Levallon Estate H.N division","7.144609","80.693210","Water is taken from the HN 1 canal, through a sub canal to the vicinity of the stock tank. There is no filtering system and the boundaries are not marked.","Construction of new catchpit (1.2m x 1.2m x 0.9m)","451,000"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Establishing a water filtering system",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
,,,,"Total",,"5,294,300"
